datasetName,MD,BVW_DUAL,CALI,DENS,DEPR,GAMM,LN_RHOV,NEUT,PHIT_D,RFC,RHOV,RUNSUM_DC,SONI,SSON,SSON_2,SWT_DUAL,SWT_DUAL_UNCL,TVD,VSH_GR
,FT,v/v,IN,G/C3,OHMM,GAPI,ampl,FRAC,v/v,ampl,g.m/cm3.s,ampl,US/F,US/F,US/F,v/v,v/v,FT,v/v
LQC_old,3504,-9999,-9999,-9999,-9999,112.29,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3504,-9999
LQC_old,3504.5,-9999,-9999,-9999,-9999,114.71,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3504.5,-9999
LQC_old,3505,-9999,-9999,-9999,-9999,116.43,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3505,-9999
LQC_old,3505.5,-9999,-9999,-9999,-9999,117.88,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3505.5,-9999
LQC_old,3506,-9999,-9999,-9999,-9999,116.99,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3506,-9999
LQC_old,3506.5,-9999,-9999,-9999,-9999,116.1,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3506.5,-9999
LQC_old,3507,-9999,-9999,-9999,-9999,116.4,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3507,-9999
LQC_old,3507.5,-9999,-9999,-9999,-9999,115.58,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3507.5,-9999
LQC_old,3508,-9999,-9999,-9999,-9999,117.09,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3508,-9999
LQC_old,3508.5,-9999,-9999,-9999,-9999,118.71,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3508.5,-9999
LQC_old,3509,-9999,-9999,-9999,-9999,118.44,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3509,-9999
LQC_old,3509.5,-9999,-9999,-9999,-9999,116.23,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3509.5,-9999
LQC_old,3510,-9999,-9999,-9999,-9999,112.18,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3510,-9999
LQC_old,3510.5,-9999,-9999,-9999,-9999,111.64,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3510.5,-9999
LQC_old,3511,-9999,-9999,-9999,-9999,110.39,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3511,-9999
LQC_old,3511.5,-9999,-9999,-9999,-9999,110.36,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3511.5,-9999
LQC_old,3512,-9999,-9999,-9999,-9999,108.64,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3512,-9999
LQC_old,3512.5,-9999,-9999,-9999,-9999,108.54,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3512.5,-9999
LQC_old,3513,-9999,-9999,-9999,-9999,107.47,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3513,-9999
LQC_old,3513.5,-9999,-9999,-9999,-9999,106.88,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3513.5,-9999
LQC_old,3514,-9999,-9999,-9999,-9999,104.66,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3514,-9999
LQC_old,3514.5,-9999,-9999,-9999,-9999,103.75,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3514.5,-9999
LQC_old,3515,-9999,-9999,-9999,-9999,103.82,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3515,-9999
LQC_old,3515.5,-9999,-9999,-9999,-9999,106.87,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3515.5,-9999
