$Csv,:,,02_97_DD_1X,Lam,Son,JOC,,,

Depth,DTCO3,DTSH5,ECGR,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH
M,us/ft,.,GAPI,.,in,.,g/cm3,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,v/v
1151.8392,53.9835,251.9995,79.9116,225.1157,12.4516,0.7407,1.9732,0.0126,0.0093,0.0075,0.0054,0.0048,0.0046,0.0335,0.6649
1151.9916,54.0899,251.834,84.2709,225.0854,12.4609,0.7416,1.9546,0.0121,0.0089,0.0071,0.005,0.0047,0.0045,0.0313,0.6884
1152.144,54.0899,253.3055,82.116,225.0553,12.4523,0.7425,1.9349,0.0124,0.0091,0.0072,0.0051,0.0049,0.0047,0.0365,0.7029
1152.2964,53.8328,254.3135,81.0673,225.0252,12.4562,0.7434,1.9148,0.0129,0.0095,0.0076,0.0055,0.0053,0.0051,0.0348,0.6649
1152.4488,55.3551,257.1437,77.9524,224.9952,12.4562,0.7443,1.9048,0.0117,0.0087,0.0069,0.0049,0.0047,0.0046,0.0348,0.5801
1152.6012,55.3551,256.2986,81.9747,224.9653,12.4562,0.7453,1.8923,0.0133,0.0098,0.0079,0.0058,0.0057,0.0055,0.03,0.5136
1152.7536,55.4464,256.8669,85.4239,224.9354,12.4612,0.7462,1.891,0.0128,0.0094,0.0075,0.0055,0.0055,0.0053,0.03,0.5123
1152.906,54.1053,257.1984,86.4285,224.9056,12.4548,0.7471,1.8944,0.0157,0.0115,0.0093,0.0071,0.0071,0.0068,0.0348,0.5565
1153.0584,54.1179,256.1048,87.1348,224.8759,12.4494,0.748,1.9118,0.0117,0.0088,0.0071,0.005,0.0054,0.0053,0.0348,0.5282
1153.2108,55.4027,255.2382,88.1581,224.8463,12.4554,0.7489,1.9469,0.0126,0.0094,0.0075,0.0055,0.0057,0.0056,0.0348,0.4905
1153.3632,55.444,253.3634,88.2993,224.8167,12.4508,0.7498,1.9821,0.0122,0.009,0.0072,0.0052,0.0055,0.0053,0.03,0.4464
1153.5156,55.4381,250.1848,87.8874,224.7872,12.4503,0.7508,2.0137,0.0116,0.0087,0.0069,0.005,0.0054,0.0052,0.03,0.4449
1153.668,55.5506,249.6848,84.6304,224.7578,12.4583,0.7517,2.0226,0.0132,0.0098,0.0079,0.0058,0.0061,0.0059,0.03,0.4561
1153.8204,55.5506,246.29,84.1292,224.7285,12.4522,0.7526,2.0238,0.0131,0.0096,0.0077,0.0056,0.0058,0.0056,0.03,0.4836
1153.9728,55.5506,238.6221,84.5598,224.6992,12.4557,0.7535,2.018,0.0118,0.0087,0.0069,0.0049,0.0051,0.0049,0.03,0.5084
1154.1252,55.5452,233.1053,84.2927,224.67,12.4562,0.7545,2.0088,0.0126,0.0093,0.0073,0.0052,0.0051,0.005,0.03,0.5109
1154.2776,55.6529,234.2996,82.5701,224.6409,12.4551,0.7554,1.9883,0.0122,0.009,0.007,0.0048,0.0048,0.0046,0.032,0.5257
1154.43,55.634,221.1533,82.6036,224.6118,12.4587,0.7563,1.9594,0.0122,0.0089,0.007,0.0048,0.0046,0.0045,0.032,0.5731
1154.5824,55.7905,213.088,85.7293,224.5828,12.4599,0.7572,1.9442,0.0128,0.0094,0.0074,0.0051,0.0049,0.0048,0.032,0.6148
1154.7348,55.7742,208.998,89.33,224.5539,12.4574,0.7581,1.9709,0.0109,0.008,0.0061,0.0038,0.0036,0.0034,0.03,0.6365
