datasetName,TWT,BVW_DUAL,CALI,DENS,DEPR,GAMM,LN_RHOV,NEUT,PHIT_D,RFC,RHOV,RUNSUM_DC,SONI,SSON,SSON_2,SWT_DUAL,SWT_DUAL_UNCL,TVD,VSH_GR
,ms,v/v,IN,G/C3,OHMM,GAPI,ampl,FRAC,v/v,ampl,g.m/cm3.s,ampl,US/F,US/F,US/F,v/v,v/v,FT,v/v
GQC_old,1188,-9999,-9999,-9999,-9999,105.0446,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3625.5,-9999
GQC_old,1189,-9999,-9999,-9999,-9999,102.6954,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3629,-9999
GQC_old,1190,-9999,-9999,-9999,-9999,103.7431,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3632.5,-9999
GQC_old,1191,-9999,-9999,-9999,-9999,107.5215,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3635.5,-9999
GQC_old,1192,-9999,-9999,-9999,-9999,102.9223,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3639,-9999
GQC_old,1193,-9999,-9999,-9999,-9999,98.49308,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3642,-9999
GQC_old,1194,-9999,-9999,-9999,-9999,99.91615,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3645.5,-9999
GQC_old,1195,-9999,-9999,-9999,-9999,101.5515,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3648.5,-9999
GQC_old,1196,-9999,-9999,-9999,-9999,102.7608,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3652,-9999
GQC_old,1197,-9999,-9999,-9999,-9999,106.5292,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3655.5,-9999
GQC_old,1198,-9999,-9999,-9999,-9999,105.8985,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3658.5,-9999
GQC_old,1199,-9999,-9999,-9999,-9999,101.62,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3662,-9999
GQC_old,1200,-9999,-9999,-9999,-9999,103.0646,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3665,-9999
GQC_old,1201,-9999,-9999,-9999,-9999,101.9308,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3668.5,-9999
GQC_old,1202,-9999,-9999,-9999,-9999,99.53846,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3671.5,-9999
GQC_old,1203,-9999,-9999,-9999,-9999,100.5892,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3675,-9999
GQC_old,1204,-9999,-9999,-9999,-9999,101.5269,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3678.5,-9999
GQC_old,1205,-9999,-9999,-9999,-9999,101.4954,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3681.5,-9999
GQC_old,1206,-9999,-9999,-9999,-9999,101.5815,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3685,-9999
GQC_old,1207,-9999,-9999,-9999,-9999,97.48385,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3688,-9999
GQC_old,1208,-9999,-9999,-9999,-9999,94.6423,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3691.5,-9999
GQC_old,1209,-9999,-9999,-9999,-9999,97.49846,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3694.5,-9999
GQC_old,1210,-9999,-9999,-9999,-9999,98.06846,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3698,-9999
GQC_old,1211,-9999,-9999,-9999,-9999,107.9731,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3701.5,-9999
GQC_old,1212,-9999,-9999,-9999,-9999,112.7085,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3704.5,-9999
GQC_old,1213,-9999,-9999,-9999,-9999,105.5639,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3708,-9999
GQC_old,1214,-9999,-9999,-9999,-9999,105.0292,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3711,-9999
GQC_old,1215,-9999,-9999,-9999,-9999,102.4415,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3714.5,-9999
GQC_old,1216,-9999,-9999,-9999,-9999,98.98769,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3717.5,-9999
GQC_old,1217,-9999,-9999,-9999,-9999,106.1277,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3721,-9999
GQC_old,1218,-9999,-9999,-9999,-9999,104.6485,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3724.5,-9999
GQC_old,1219,-9999,-9999,-9999,-9999,99.02846,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3727.5,-9999
GQC_old,1220,-9999,-9999,-9999,-9999,99.52385,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3731,-9999
GQC_old,1221,-9999,-9999,-9999,-9999,99.92538,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3734,-9999
GQC_old,1222,-9999,-9999,-9999,-9999,101.7223,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3737.5,-9999
GQC_old,1223,-9999,-9999,-9999,-9999,105.1577,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3740.5,-9999
GQC_old,1224,-9999,-9999,-9999,-9999,103.98,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3744,-9999
GQC_old,1225,-9999,-9999,-9999,-9999,100.8857,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3747.25,-9999
GQC_old,1226,-9999,-9999,-9999,-9999,101.0077,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3750.5,-9999
GQC_old,1227,-9999,-9999,-9999,-9999,101.8223,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3754,-9999
GQC_old,1228,-9999,-9999,-9999,-9999,106.56,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3757,-9999
GQC_old,1229,-9999,-9999,-9999,-9999,109.6392,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3760.5,-9999
GQC_old,1230,-9999,-9999,-9999,-9999,104.7015,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3763.5,-9999
GQC_old,1231,-9999,-9999,-9999,-9999,102.8669,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3767,-9999
GQC_old,1232,-9999,-9999,-9999,-9999,105.24,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3770,-9999
GQC_old,1233,-9999,-9999,-9999,-9999,104.2323,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3773.5,-9999
GQC_old,1234,-9999,-9999,-9999,-9999,101.8108,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3777,-9999
GQC_old,1235,-9999,-9999,-9999,-9999,99.17154,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3780,-9999
GQC_old,1236,-9999,-9999,-9999,-9999,101.2646,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3783.5,-9999
GQC_old,1237,-9999,-9999,-9999,-9999,107.1531,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3786.5,-9999
GQC_old,1238,-9999,-9999,-9999,-9999,106.6685,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3790,-9999
