$Csv,:WELL

WELL,Depth,DTCO3,DTSH5,ECGR,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH,DTCO3,DTSH3,DTSH6,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH
.,M,us/ft,.,GAPI,.,in,.,g/cm3,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,v/v,US/F,US/F,US/F,Deg,IN,Deg,G/C3,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,V/V
02_97_DD_1X,1148.4864,56.4887,259.9018,83.0116,225.8001,12.4337,0.7205,3.4125,0.0123,0.0087,0.0059,0.0024,0.0005,0.0005,0.03,0.5698,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1148.6388,56.4887,259.9018,83.802,225.7682,12.4411,0.7214,4.3214,0.0135,0.0094,0.0064,0.0028,0.0009,0.0008,0.03,0.5848,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1148.7912,56.4887,259.9018,84.2381,225.7363,12.4377,0.7223,4.6288,0.0123,0.0086,0.0059,0.0024,0.0006,0.0005,0.034,0.5655,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1148.9436,56.4887,259.9018,82.4026,225.7045,12.4294,0.7232,4.6288,0.0128,0.0089,0.0061,0.0025,0.0005,0.0005,0.034,0.5639,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1149.096,56.1687,258.9515,79.8052,225.6729,12.4397,0.7242,4.6288,0.0118,0.0083,0.0056,0.0021,0.0002,0.0002,0.034,0.5684,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1149.2484,56.5103,257.7925,79.7066,225.6412,12.4305,0.7251,4.6288,0.013,0.0091,0.0063,0.0027,0.0008,0.0008,0.0301,0.5787,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1149.4008,56.5103,258.1501,80.327,225.6097,12.4335,0.726,4.6288,0.0137,0.0097,0.0068,0.0032,0.0015,0.0014,0.0301,0.5568,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1149.5532,56.4681,257.3871,81.5564,225.5782,12.4486,0.7269,4.6288,0.0139,0.01,0.007,0.0036,0.002,0.0019,0.0302,0.5323,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1149.7056,56.4903,257.0946,81.274,225.5469,12.4515,0.7278,4.6288,0.0137,0.0098,0.0068,0.0034,0.0019,0.0018,0.03,0.5713,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1149.858,56.4883,255.5476,80.6312,225.5155,12.4526,0.7287,4.6288,0.0145,0.0104,0.0073,0.0037,0.002,0.002,0.0335,0.5669,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1150.0104,56.2834,253.3686,81.8794,225.4843,12.4482,0.7297,4.6288,0.0142,0.0103,0.0073,0.0037,0.0021,0.002,0.0335,0.5056,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1150.1628,56.2686,254.631,83.5567,225.4532,12.4498,0.7306,4.6288,0.0147,0.0115,0.0082,0.0044,0.0026,0.0025,0.0417,0.4793,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1150.3152,56.1034,253.9514,84.8446,225.4221,12.4615,0.7315,4.6288,0.0129,0.0103,0.0077,0.0042,0.0024,0.0024,0.0364,0.4891,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1150.4676,56.1034,254.2103,85.0266,225.3911,12.462,0.7324,3.7186,0.0119,0.0095,0.0078,0.0043,0.0026,0.0026,0.0364,0.5174,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1150.62,55.0268,255.5836,83.8364,225.3602,12.4558,0.7333,2.8006,0.0129,0.01,0.0086,0.0051,0.0032,0.0031,0.03,0.5696,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1150.7724,55.0268,253.2721,83.997,225.3294,12.4451,0.7342,1.8801,0.0141,0.0107,0.0091,0.0061,0.004,0.0039,0.0302,0.6336,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1150.9248,55.36,253.004,83.0197,225.2986,12.4556,0.7351,1.8873,0.0123,0.0093,0.0077,0.0056,0.0037,0.0036,0.0317,0.6282,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1151.0772,55.1623,254.9615,80.6049,225.2679,12.4565,0.7361,1.9132,0.0133,0.0099,0.0082,0.0062,0.0042,0.004,0.0317,0.575,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1151.2296,55.1623,252.7233,81.5341,225.2373,12.4637,0.737,1.9342,0.0147,0.0109,0.0091,0.007,0.0049,0.0048,0.0307,0.5296,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1151.382,55.2336,249.0008,81.1136,225.2068,12.4486,0.7379,1.9408,0.0127,0.0095,0.0079,0.006,0.0043,0.0042,0.03,0.5272,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1151.5344,53.9792,249.1141,82.3021,225.1763,12.4499,0.7388,1.95,0.013,0.0097,0.0079,0.0059,0.0045,0.0043,0.0322,0.5201,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1151.6868,55.2668,250.7567,79.491,225.146,12.4486,0.7397,1.9678,0.0126,0.0095,0.0077,0.0056,0.0046,0.0044,0.0322,0.5692,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1151.8392,53.9835,251.9995,79.9116,225.1157,12.4516,0.7407,1.9732,0.0126,0.0093,0.0075,0.0054,0.0048,0.0046,0.0335,0.6649,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1151.9916,54.0899,251.834,84.2709,225.0854,12.4609,0.7416,1.9546,0.0121,0.0089,0.0071,0.005,0.0047,0.0045,0.0313,0.6884,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1152.144,54.0899,253.3055,82.116,225.0553,12.4523,0.7425,1.9349,0.0124,0.0091,0.0072,0.0051,0.0049,0.0047,0.0365,0.7029,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1152.2964,53.8328,254.3135,81.0673,225.0252,12.4562,0.7434,1.9148,0.0129,0.0095,0.0076,0.0055,0.0053,0.0051,0.0348,0.6649,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1152.4488,55.3551,257.1437,77.9524,224.9952,12.4562,0.7443,1.9048,0.0117,0.0087,0.0069,0.0049,0.0047,0.0046,0.0348,0.5801,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1152.6012,55.3551,256.2986,81.9747,224.9653,12.4562,0.7453,1.8923,0.0133,0.0098,0.0079,0.0058,0.0057,0.0055,0.03,0.5136,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1152.7536,55.4464,256.8669,85.4239,224.9354,12.4612,0.7462,1.891,0.0128,0.0094,0.0075,0.0055,0.0055,0.0053,0.03,0.5123,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1152.906,54.1053,257.1984,86.4285,224.9056,12.4548,0.7471,1.8944,0.0157,0.0115,0.0093,0.0071,0.0071,0.0068,0.0348,0.5565,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1153.0584,54.1179,256.1048,87.1348,224.8759,12.4494,0.748,1.9118,0.0117,0.0088,0.0071,0.005,0.0054,0.0053,0.0348,0.5282,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1153.2108,55.4027,255.2382,88.1581,224.8463,12.4554,0.7489,1.9469,0.0126,0.0094,0.0075,0.0055,0.0057,0.0056,0.0348,0.4905,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1153.3632,55.444,253.3634,88.2993,224.8167,12.4508,0.7498,1.9821,0.0122,0.009,0.0072,0.0052,0.0055,0.0053,0.03,0.4464,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1153.5156,55.4381,250.1848,87.8874,224.7872,12.4503,0.7508,2.0137,0.0116,0.0087,0.0069,0.005,0.0054,0.0052,0.03,0.4449,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1153.668,55.5506,249.6848,84.6304,224.7578,12.4583,0.7517,2.0226,0.0132,0.0098,0.0079,0.0058,0.0061,0.0059,0.03,0.4561,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1153.8204,55.5506,246.29,84.1292,224.7285,12.4522,0.7526,2.0238,0.0131,0.0096,0.0077,0.0056,0.0058,0.0056,0.03,0.4836,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1153.9728,55.5506,238.6221,84.5598,224.6992,12.4557,0.7535,2.018,0.0118,0.0087,0.0069,0.0049,0.0051,0.0049,0.03,0.5084,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1154.1252,55.5452,233.1053,84.2927,224.67,12.4562,0.7545,2.0088,0.0126,0.0093,0.0073,0.0052,0.0051,0.005,0.03,0.5109,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1154.2776,55.6529,234.2996,82.5701,224.6409,12.4551,0.7554,1.9883,0.0122,0.009,0.007,0.0048,0.0048,0.0046,0.032,0.5257,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1154.43,55.634,221.1533,82.6036,224.6118,12.4587,0.7563,1.9594,0.0122,0.0089,0.007,0.0048,0.0046,0.0045,0.032,0.5731,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1154.5824,55.7905,213.088,85.7293,224.5828,12.4599,0.7572,1.9442,0.0128,0.0094,0.0074,0.0051,0.0049,0.0048,0.032,0.6148,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1154.7348,55.7742,208.998,89.33,224.5539,12.4574,0.7581,1.9709,0.0109,0.008,0.0061,0.0038,0.0036,0.0034,0.03,0.6365,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1154.8872,55.836,196.5375,87.1737,224.525,12.4419,0.7591,2.0269,0.0118,0.0086,0.0066,0.0042,0.0038,0.0037,0.03,0.5843,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1155.0396,55.8808,177.0671,83.1815,224.4963,12.4562,0.76,2.091,0.0117,0.0085,0.0065,0.0041,0.0037,0.0036,0.0319,0.492,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1155.192,55.9603,179.7016,80.2657,224.4675,12.4494,0.7609,2.9565,0.0123,0.009,0.0068,0.0044,0.0038,0.0037,0.0319,0.4516,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1155.3444,55.9974,168.3714,78.5089,224.4389,12.4578,0.7618,3.8003,0.0113,0.0083,0.0063,0.0038,0.0034,0.0033,0.033,0.4386,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1155.4968,55.8697,164.8492,76.3363,224.4103,12.4628,0.7628,4.6206,0.0114,0.0084,0.0063,0.0039,0.0033,0.0032,0.0311,0.4584,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1155.6492,55.8697,162.6131,72.2971,224.3818,12.4615,0.7637,3.8477,0.0123,0.0089,0.0067,0.0041,0.0035,0.0034,0.0335,0.433,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1155.8016,55.8692,162.0511,71.7432,224.3534,12.4515,0.7646,3.06,0.0131,0.0094,0.0071,0.0044,0.0036,0.0034,0.0324,0.3945,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1155.954,55.887,162.0983,74.1486,224.325,12.4621,0.7655,2.2445,0.0137,0.0098,0.0074,0.0046,0.0037,0.0036,0.0411,0.4047,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1156.1064,55.7602,174.6568,77.5684,224.2967,12.4518,0.7664,2.1695,0.0126,0.0091,0.0068,0.0041,0.0032,0.0031,0.0376,0.4487,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1156.2588,55.7497,164.2843,78.1164,224.2685,12.4562,0.7674,2.1049,0.0124,0.009,0.0067,0.0039,0.0031,0.003,0.0376,0.4904,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1156.4112,55.7217,164.7061,77.1051,224.2403,12.4798,0.7683,2.0804,0.0128,0.0092,0.0069,0.0042,0.0033,0.0032,0.033,0.5109,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1156.5636,55.6154,163.7266,74.3025,224.2122,12.4636,0.7692,2.0884,0.0129,0.0093,0.007,0.0042,0.0033,0.0032,0.033,0.5056,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
